country,iso2c,iso3c,year,GDP_pc
Austria,AT,AUT,2021,45238.3907144733
Austria,AT,AUT,2020,43455.7000665738
Austria,AT,AUT,2019,46647.0809634335
Austria,AT,AUT,2018,46154.6250956541
Austria,AT,AUT,2017,45281.723399938
Austria,AT,AUT,2016,44590.2516278164
Austria,AT,AUT,2015,44195.8175947748
Austria,AT,AUT,2014,44245.1687398338
Austria,AT,AUT,2013,44299.3781845446
Austria,AT,AUT,2012,44549.881698231
Austria,AT,AUT,2011,44451.0001918473
Austria,AT,AUT,2010,43334.5089644691
Austria,AT,AUT,2009,42655.1921304813
Austria,AT,AUT,2008,44440.055889928
Austria,AT,AUT,2007,43937.7128905744
Austria,AT,AUT,2006,42496.3510516831
Austria,AT,AUT,2005,41281.2707559522
Austria,AT,AUT,2004,40651.2266155811
Austria,AT,AUT,2003,39815.2219533064
Austria,AT,AUT,2002,39636.4826114521
Austria,AT,AUT,2001,39184.8085972636
Austria,AT,AUT,2000,38842.8905195831
Austria,AT,AUT,1999,37664.9432792116
Austria,AT,AUT,1998,36442.2882333384
Austria,AT,AUT,1997,35220.8877426259
Austria,AT,AUT,1996,34537.7395746518
Austria,AT,AUT,1995,33790.4849857504
Austria,AT,AUT,1994,32962.8174189767
Austria,AT,AUT,1993,32313.7118722637
Austria,AT,AUT,1992,32410.53977326
Austria,AT,AUT,1991,32097.2410936755
Austria,AT,AUT,1990,31340.6812927165
Austria,AT,AUT,1989,30265.1932308117
Austria,AT,AUT,1988,29264.3235778252
Austria,AT,AUT,1987,28370.7178819139
Austria,AT,AUT,1986,28008.5545890344
Austria,AT,AUT,1985,27395.8726479906
Austria,AT,AUT,1984,26740.5772417596
Austria,AT,AUT,1983,26725.1907228527
Austria,AT,AUT,1982,25911.6609400039
Austria,AT,AUT,1981,25419.0096476102
Austria,AT,AUT,1980,25520.74055574
Austria,AT,AUT,1979,25086.400193858
Austria,AT,AUT,1978,23770.3662432365
Austria,AT,AUT,1977,23801.2675449624
Austria,AT,AUT,1976,22659.317777419
Austria,AT,AUT,1975,21629.0463028275
Austria,AT,AUT,1974,21650.4867976498
Austria,AT,AUT,1973,20864.8474583279
Austria,AT,AUT,1972,20002.5561105758
Austria,AT,AUT,1971,18943.1811467755
Austria,AT,AUT,1970,18101.9919477322
Austria,AT,AUT,1969,17085.3299659169
Austria,AT,AUT,1968,16132.0095204536
Austria,AT,AUT,1967,15521.8096470115
Austria,AT,AUT,1966,15181.5887613761
Austria,AT,AUT,1965,14471.8213231195
Austria,AT,AUT,1964,14076.2761631952
Austria,AT,AUT,1963,13352.6511315776
Austria,AT,AUT,1962,12904.669883596
Austria,AT,AUT,1961,12648.9746969392
Austria,AT,AUT,1960,12051.1511700385
Belgium,BE,BEL,2021,42901.4320595797
Belgium,BE,BEL,2020,40612.3924560653
Belgium,BE,BEL,2019,43098.4847198889
Belgium,BE,BEL,2018,42382.3182763247
Belgium,BE,BEL,2017,41825.7628316432
Belgium,BE,BEL,2016,41318.0196388476
Belgium,BE,BEL,2015,41008.296719472
Belgium,BE,BEL,2014,40421.4207919096
Belgium,BE,BEL,2013,39970.3174974794
Belgium,BE,BEL,2012,39975.5736402458
Belgium,BE,BEL,2011,39929.0951439359
Belgium,BE,BEL,2010,39777.9252767366
Belgium,BE,BEL,2009,39025.2207908291
Belgium,BE,BEL,2008,40151.8498740394
Belgium,BE,BEL,2007,40290.2277563956
Belgium,BE,BEL,2006,39147.7635597291
Belgium,BE,BEL,2005,38426.0519083731
Belgium,BE,BEL,2004,37761.2813189981
Belgium,BE,BEL,2003,36617.3803840227
Belgium,BE,BEL,2002,36393.2417665704
Belgium,BE,BEL,2001,35943.2379602838
Belgium,BE,BEL,2000,35674.7912530713
Belgium,BE,BEL,1999,34479.9064484695
Belgium,BE,BEL,1998,33376.5748398965
Belgium,BE,BEL,1997,32804.3605402361
Belgium,BE,BEL,1996,31681.9363634502
Belgium,BE,BEL,1995,31329.892072751
Belgium,BE,BEL,1994,30664.3078546408
Belgium,BE,BEL,1993,29797.4063198776
Belgium,BE,BEL,1992,30204.5637515713
Belgium,BE,BEL,1991,29870.1477747077
Belgium,BE,BEL,1990,29441.6621481593
Belgium,BE,BEL,1989,28631.3190930238
Belgium,BE,BEL,1988,27772.0520454683
Belgium,BE,BEL,1987,26603.9280981301
Belgium,BE,BEL,1986,26026.2804981502
Belgium,BE,BEL,1985,25569.4893301131
Belgium,BE,BEL,1984,25161.4909793831
Belgium,BE,BEL,1983,24555.480969759
Belgium,BE,BEL,1982,24477.1998826276
Belgium,BE,BEL,1981,24325.8132752066
Belgium,BE,BEL,1980,24393.2981775195
Belgium,BE,BEL,1979,23381.1272443226
Belgium,BE,BEL,1978,22866.8232310329
Belgium,BE,BEL,1977,22255.6844094244
Belgium,BE,BEL,1976,22144.5236139589
Belgium,BE,BEL,1975,20997.2068325293
Belgium,BE,BEL,1974,21480.261317053
Belgium,BE,BEL,1973,20607.1809135777
Belgium,BE,BEL,1972,19432.03103295
Belgium,BE,BEL,1971,18527.1487401867
Belgium,BE,BEL,1970,17849.4947135456
Belgium,BE,BEL,1969,16922.3543777831
Belgium,BE,BEL,1968,15915.1956538995
Belgium,BE,BEL,1967,15334.7678862416
Belgium,BE,BEL,1966,14846.0973473565
Belgium,BE,BEL,1965,14489.4450965924
Belgium,BE,BEL,1964,14118.902318486
Belgium,BE,BEL,1963,13326.1132693154
Belgium,BE,BEL,1962,12866.2287658556
Belgium,BE,BEL,1961,12277.6347194523
Belgium,BE,BEL,1960,11734.306170839
Bulgaria,BG,BGR,2021,8633.98229147066
Bulgaria,BG,BGR,2020,7956.46908962689
Bulgaria,BG,BGR,2019,8234.83966944834
Bulgaria,BG,BGR,2018,7859.6921556743
Bulgaria,BG,BGR,2017,7599.12495683519
Bulgaria,BG,BGR,2016,7341.04761379451
Bulgaria,BG,BGR,2015,7074.68102325059
Bulgaria,BG,BGR,2014,6796.68911922266
Bulgaria,BG,BGR,2013,6693.45015260161
Bulgaria,BG,BGR,2012,6693.61236429071
Bulgaria,BG,BGR,2011,6605.08982045823
Bulgaria,BG,BGR,2010,6427.81006212601
Bulgaria,BG,BGR,2009,6288.67740963612
Bulgaria,BG,BGR,2008,6464.67265403586
Bulgaria,BG,BGR,2007,6048.69609187226
Bulgaria,BG,BGR,2006,5629.75831393618
Bulgaria,BG,BGR,2005,5231.29820427443
Bulgaria,BG,BGR,2004,4849.83439967398
Bulgaria,BG,BGR,2003,4519.14992092151
Bulgaria,BG,BGR,2002,4260.37221454478
Bulgaria,BG,BGR,2001,3937.67150224538
Bulgaria,BG,BGR,2000,3717.90048242716
Bulgaria,BG,BGR,1999,3537.31842905104
Bulgaria,BG,BGR,1998,3839.94747773847
Bulgaria,BG,BGR,1997,3675.15273864966
Bulgaria,BG,BGR,1996,4253.20220185448
Bulgaria,BG,BGR,1995,4021.96452989335
Bulgaria,BG,BGR,1994,3892.71107002069
Bulgaria,BG,BGR,1993,3810.24372212006
Bulgaria,BG,BGR,1992,3836.76395475034
Bulgaria,BG,BGR,1991,4093.47667850379
Bulgaria,BG,BGR,1990,4427.01071363047
Bulgaria,BG,BGR,1989,4784.05464613583
Bulgaria,BG,BGR,1988,4889.25631992299
Bulgaria,BG,BGR,1987,4411.8862225923
Bulgaria,BG,BGR,1986,4166.1416695377
Bulgaria,BG,BGR,1985,3996.86480200571
Bulgaria,BG,BGR,1984,3892.35683500023
Bulgaria,BG,BGR,1983,3773.31598438984
Bulgaria,BG,BGR,1982,3657.28776629272
Bulgaria,BG,BGR,1981,3584.44137344303
Bulgaria,BG,BGR,1980,3428.40951178545
Bulgaria,BG,BGR,1979,
Bulgaria,BG,BGR,1978,
Bulgaria,BG,BGR,1977,
Bulgaria,BG,BGR,1976,
Bulgaria,BG,BGR,1975,
Bulgaria,BG,BGR,1974,
Bulgaria,BG,BGR,1973,
Bulgaria,BG,BGR,1972,
Bulgaria,BG,BGR,1971,
Bulgaria,BG,BGR,1970,
Bulgaria,BG,BGR,1969,
Bulgaria,BG,BGR,1968,
Bulgaria,BG,BGR,1967,
Bulgaria,BG,BGR,1966,
Bulgaria,BG,BGR,1965,
Bulgaria,BG,BGR,1964,
Bulgaria,BG,BGR,1963,
Bulgaria,BG,BGR,1962,
Bulgaria,BG,BGR,1961,
Bulgaria,BG,BGR,1960,
Cyprus,CY,CYP,2021,28329.203125
Cyprus,CY,CYP,2020,26814.21484375
Cyprus,CY,CYP,2019,28359.919921875
Cyprus,CY,CYP,2018,27241.0078125
Cyprus,CY,CYP,2017,26101.181640625
Cyprus,CY,CYP,2016,24916.51953125
Cyprus,CY,CYP,2015,23487.125
Cyprus,CY,CYP,2014,22581.7265625
Cyprus,CY,CYP,2013,22738.390625
Cyprus,CY,CYP,2012,24285.388671875
Cyprus,CY,CYP,2011,25538.669921875
Cyprus,CY,CYP,2010,26089.93359375
Cyprus,CY,CYP,2009,26183.34765625
Cyprus,CY,CYP,2008,27448.921875
Cyprus,CY,CYP,2007,27156.564453125
Cyprus,CY,CYP,2006,26395.294921875
Cyprus,CY,CYP,2005,25631.154296875
Cyprus,CY,CYP,2004,24799.439453125
Cyprus,CY,CYP,2003,23930.564453125
Cyprus,CY,CYP,2002,23603.9765625
Cyprus,CY,CYP,2001,23019.046875
Cyprus,CY,CYP,2000,22383.767578125
Cyprus,CY,CYP,1999,21349.560546875
Cyprus,CY,CYP,1998,20562.11328125
Cyprus,CY,CYP,1997,19617.015625
Cyprus,CY,CYP,1996,19385.126953125
Cyprus,CY,CYP,1995,19453.677734375
Cyprus,CY,CYP,1994,18280.86328125
Cyprus,CY,CYP,1993,17623.1328125
Cyprus,CY,CYP,1992,17928.384765625
Cyprus,CY,CYP,1991,16829.765625
Cyprus,CY,CYP,1990,17144.3203125
Cyprus,CY,CYP,1989,16306.1875
Cyprus,CY,CYP,1988,15322.5546875
Cyprus,CY,CYP,1987,14253.4345703125
Cyprus,CY,CYP,1986,13458.41015625
Cyprus,CY,CYP,1985,13127.4140625
Cyprus,CY,CYP,1984,12669.3857421875
Cyprus,CY,CYP,1983,11801.0908203125
Cyprus,CY,CYP,1982,11269.71875
Cyprus,CY,CYP,1981,10756.1640625
Cyprus,CY,CYP,1980,10667.7470703125
Cyprus,CY,CYP,1979,10197.5732421875
Cyprus,CY,CYP,1978,9350.9091796875
Cyprus,CY,CYP,1977,8708.375
Cyprus,CY,CYP,1976,7484.767578125
Cyprus,CY,CYP,1975,6173.26513671875
Cyprus,CY,CYP,1974,
Cyprus,CY,CYP,1973,
Cyprus,CY,CYP,1972,
Cyprus,CY,CYP,1971,
Cyprus,CY,CYP,1970,
Cyprus,CY,CYP,1969,
Cyprus,CY,CYP,1968,
Cyprus,CY,CYP,1967,
Cyprus,CY,CYP,1966,
Cyprus,CY,CYP,1965,
Cyprus,CY,CYP,1964,
Cyprus,CY,CYP,1963,
Cyprus,CY,CYP,1962,
Cyprus,CY,CYP,1961,
Cyprus,CY,CYP,1960,
Czechia,CZ,CZE,2021,20083.8096038696
Czechia,CZ,CZE,2020,19048.0868543829
Czechia,CZ,CZE,2019,20206.4256384905
Czechia,CZ,CZE,2018,19689.5827032979
Czechia,CZ,CZE,2017,19139.2398841383
Czechia,CZ,CZE,2016,18247.0117295456
Czechia,CZ,CZE,2015,17829.6983223668
Czechia,CZ,CZE,2014,16951.3791150445
Czechia,CZ,CZE,2013,16593.8642307285
Czechia,CZ,CZE,2012,16606.9925391504
Czechia,CZ,CZE,2011,16761.8273125123
Czechia,CZ,CZE,2010,16505.9537034372
Czechia,CZ,CZE,2009,16160.6205565942
Czechia,CZ,CZE,2008,17046.8850268926
Czechia,CZ,CZE,2007,16739.1787158121
Czechia,CZ,CZE,2006,15948.7452897204
Czechia,CZ,CZE,2005,14978.4131869153
Czechia,CZ,CZE,2004,14070.2804589818
Czechia,CZ,CZE,2003,13428.099616179
Czechia,CZ,CZE,2002,12959.8174813078
Czechia,CZ,CZE,2001,12734.9220286548
Czechia,CZ,CZE,2000,12312.497769842
Czechia,CZ,CZE,1999,11805.6718407762
Czechia,CZ,CZE,1998,11632.6028956161
Czechia,CZ,CZE,1997,11663.17381617
Czechia,CZ,CZE,1996,11711.3154124611
Czechia,CZ,CZE,1995,11219.1500652457
Czechia,CZ,CZE,1994,10527.8756898085
Czechia,CZ,CZE,1993,10233.9421858953
Czechia,CZ,CZE,1992,10238.2476845601
Czechia,CZ,CZE,1991,10300.8991599512
Czechia,CZ,CZE,1990,11626.6258716528
Czechia,CZ,CZE,1989,
Czechia,CZ,CZE,1988,
Czechia,CZ,CZE,1987,
Czechia,CZ,CZE,1986,
Czechia,CZ,CZE,1985,
Czechia,CZ,CZE,1984,
Czechia,CZ,CZE,1983,
Czechia,CZ,CZE,1982,
Czechia,CZ,CZE,1981,
Czechia,CZ,CZE,1980,
Czechia,CZ,CZE,1979,
Czechia,CZ,CZE,1978,
Czechia,CZ,CZE,1977,
Czechia,CZ,CZE,1976,
Czechia,CZ,CZE,1975,
Czechia,CZ,CZE,1974,
Czechia,CZ,CZE,1973,
Czechia,CZ,CZE,1972,
Czechia,CZ,CZE,1971,
Czechia,CZ,CZE,1970,
Czechia,CZ,CZE,1969,
Czechia,CZ,CZE,1968,
Czechia,CZ,CZE,1967,
Czechia,CZ,CZE,1966,
Czechia,CZ,CZE,1965,
Czechia,CZ,CZE,1964,
Czechia,CZ,CZE,1963,
Czechia,CZ,CZE,1962,
Czechia,CZ,CZE,1961,
Czechia,CZ,CZE,1960,
Germany,DE,DEU,2021,42726.485322007
Germany,DE,DEU,2020,41650.4227126493
Germany,DE,DEU,2019,43284.6024553493
Germany,DE,DEU,2018,42928.7412368012
Germany,DE,DEU,2017,42639.5544087286
Germany,DE,DEU,2016,41682.0322433511
Germany,DE,DEU,2015,41103.2564363768
Germany,DE,DEU,2014,40851.1617304855
Germany,DE,DEU,2013,40135.0158319837
Germany,DE,DEU,2012,40069.3539560742
Germany,DE,DEU,2011,39977.3417095357
Germany,DE,DEU,2010,37760.9136283996
Germany,DE,DEU,2009,36190.3928860698
Germany,DE,DEU,2008,38278.3130082531
Germany,DE,DEU,2007,37842.3577913563
Germany,DE,DEU,2006,36699.446781036
Germany,DE,DEU,2005,35310.4704669272
Germany,DE,DEU,2004,35034.0806086181
Germany,DE,DEU,2003,34619.6640670185
Germany,DE,DEU,2002,34883.0580735445
Germany,DE,DEU,2001,35011.068457503
Germany,DE,DEU,2000,34490.0757688619
Germany,DE,DEU,1999,33559.3993737499
Germany,DE,DEU,1998,32959.0735691418
Germany,DE,DEU,1997,32313.2970704344
Germany,DE,DEU,1996,31790.8668596056
Germany,DE,DEU,1995,31628.1598130943
Germany,DE,DEU,1994,31238.8790596628
Germany,DE,DEU,1993,30615.1402117435
Germany,DE,DEU,1992,31121.0705650076
Germany,DE,DEU,1991,30766.9289577727
Germany,DE,DEU,1990,29485.7099744881
Germany,DE,DEU,1989,28256.1062209731
Germany,DE,DEU,1988,27407.5200661963
Germany,DE,DEU,1987,26531.229705288
Germany,DE,DEU,1986,26204.5895785314
Germany,DE,DEU,1985,25630.3329976336
Germany,DE,DEU,1984,24991.3336835112
Germany,DE,DEU,1983,24221.3403747435
Germany,DE,DEU,1982,23783.9454870064
Germany,DE,DEU,1981,23855.5258569738
Germany,DE,DEU,1980,23766.107651563
Germany,DE,DEU,1979,23484.5991918307
Germany,DE,DEU,1978,22558.714790358
Germany,DE,DEU,1977,21880.8076281356
Germany,DE,DEU,1976,21124.2556950912
Germany,DE,DEU,1975,20041.9479922639
Germany,DE,DEU,1974,20141.9394753194
Germany,DE,DEU,1973,19972.0254072346
Germany,DE,DEU,1972,19121.4978922895
Germany,DE,DEU,1971,18421.0421814761
Germany,DE,DEU,1970,17894.2966855025
Germany,DE,DEU,1969,
Germany,DE,DEU,1968,
Germany,DE,DEU,1967,
Germany,DE,DEU,1966,
Germany,DE,DEU,1965,
Germany,DE,DEU,1964,
Germany,DE,DEU,1963,
Germany,DE,DEU,1962,
Germany,DE,DEU,1961,
Germany,DE,DEU,1960,
Denmark,DK,DNK,2021,58359.5839945633
Denmark,DK,DNK,2020,55898.7900294456
Denmark,DK,DNK,2019,57203.0277943447
Denmark,DK,DNK,2018,56563.4884729669
Denmark,DK,DNK,2017,55735.7649011485
Denmark,DK,DNK,2016,54556.0689545694
Denmark,DK,DNK,2015,53254.8563700916
Denmark,DK,DNK,2014,52404.7639713382
Denmark,DK,DNK,2013,51831.7979309232
Denmark,DK,DNK,2012,51567.0401502519
Denmark,DK,DNK,2011,51644.4635097775
Denmark,DK,DNK,2010,51173.4661587111
Denmark,DK,DNK,2009,50457.2324892863
Denmark,DK,DNK,2008,53345.3576182976
Denmark,DK,DNK,2007,53935.8702479631
Denmark,DK,DNK,2006,53687.4415474978
Denmark,DK,DNK,2005,51835.8327062445
Denmark,DK,DNK,2004,50792.00095345
Denmark,DK,DNK,2003,49599.9969640753
Denmark,DK,DNK,2002,49541.8555503286
Denmark,DK,DNK,2001,49469.6888088275
Denmark,DK,DNK,2000,49241.9280041345
Denmark,DK,DNK,1999,47622.4390779319
Denmark,DK,DNK,1998,46412.038971456
Denmark,DK,DNK,1997,45570.0798221242
Denmark,DK,DNK,1996,44314.7904987137
Denmark,DK,DNK,1995,43310.2500901054
Denmark,DK,DNK,1994,42257.0983305221
Denmark,DK,DNK,1993,40253.5398981286
Denmark,DK,DNK,1992,40383.5587756081
Denmark,DK,DNK,1991,39739.6098511225
Denmark,DK,DNK,1990,39295.2434424919
Denmark,DK,DNK,1989,38786.930952318
Denmark,DK,DNK,1988,38561.4119234317
Denmark,DK,DNK,1987,38585.402852645
Denmark,DK,DNK,1986,38536.322876642
Denmark,DK,DNK,1985,36783.9410443123
Denmark,DK,DNK,1984,35382.234592759
Denmark,DK,DNK,1983,33949.3314179257
Denmark,DK,DNK,1982,33067.5698057741
Denmark,DK,DNK,1981,31869.0422345814
Denmark,DK,DNK,1980,32073.6413237087
Denmark,DK,DNK,1979,32268.5203006998
Denmark,DK,DNK,1978,31142.924578691
Denmark,DK,DNK,1977,30559.4558828137
Denmark,DK,DNK,1976,30091.9728338229
Denmark,DK,DNK,1975,28480.3554790863
Denmark,DK,DNK,1974,28984.7792237673
Denmark,DK,DNK,1973,29450.5970790465
Denmark,DK,DNK,1972,28464.1397778596
Denmark,DK,DNK,1971,27545.0669177612
Denmark,DK,DNK,1970,26927.9590369218
Denmark,DK,DNK,1969,26704.6332242614
Denmark,DK,DNK,1968,25211.6295441511
Denmark,DK,DNK,1967,24031.1274153613
Denmark,DK,DNK,1966,22952.0113025231
Denmark,DK,DNK,1965,22519.8115263793
Denmark,DK,DNK,1964,21707.1637228444
Denmark,DK,DNK,1963,20025.0367527905
Denmark,DK,DNK,1962,20055.6436817272
Denmark,DK,DNK,1961,19128.4044219207
Denmark,DK,DNK,1960,18107.3759290293
Spain,ES,ESP,2021,26125.8716662745
Spain,ES,ESP,2020,24785.446714692
Spain,ES,ESP,2019,28087.8979203438
Spain,ES,ESP,2018,27739.8647682529
Spain,ES,ESP,2017,27239.3524364815
Spain,ES,ESP,2016,26514.3248119679
Spain,ES,ESP,2015,25754.36102944
Spain,ES,ESP,2014,24783.0829468685
Spain,ES,ESP,2013,24368.9682370919
Spain,ES,ESP,2012,24634.9620884239
Spain,ES,ESP,2011,25402.6050717462
Spain,ES,ESP,2010,25702.3468448149
Spain,ES,ESP,2009,25778.9564650653
Spain,ES,ESP,2008,27025.2949432871
Spain,ES,ESP,2007,27218.4492597353
Spain,ES,ESP,2006,26762.2672557942
Spain,ES,ESP,2005,26145.8085786196
Spain,ES,ESP,2004,25654.3365515924
Spain,ES,ESP,2003,25310.4563874129
Spain,ES,ESP,2002,25026.0864710207
Spain,ES,ESP,2001,24707.3670736861
Spain,ES,ESP,2000,23937.9685518675
Spain,ES,ESP,1999,22846.7177460286
Spain,ES,ESP,1998,21953.667519614
Spain,ES,ESP,1997,21117.0185808291
Spain,ES,ESP,1996,20448.6014871574
Spain,ES,ESP,1995,20001.790799896
Spain,ES,ESP,1994,19551.1452944731
Spain,ES,ESP,1993,19187.1823103537
Spain,ES,ESP,1992,19487.9512119662
Spain,ES,ESP,1991,19403.3303796801
Spain,ES,ESP,1990,18969.8086426392
Spain,ES,ESP,1989,18297.2443971757
Spain,ES,ESP,1988,17482.0869882871
Spain,ES,ESP,1987,16669.9770385052
Spain,ES,ESP,1986,15834.8828670987
Spain,ES,ESP,1985,15381.8445670239
Spain,ES,ESP,1984,15087.438954457
Spain,ES,ESP,1983,14884.5774725596
Spain,ES,ESP,1982,14697.1136411382
Spain,ES,ESP,1981,14603.5909310161
Spain,ES,ESP,1980,14727.283522557
Spain,ES,ESP,1979,14525.1922827734
Spain,ES,ESP,1978,14647.7246126266
Spain,ES,ESP,1977,14576.1951146606
Spain,ES,ESP,1976,14320.4804389576
Spain,ES,ESP,1975,14009.7754794436
Spain,ES,ESP,1974,14085.7110758222
Spain,ES,ESP,1973,13482.8822077544
Spain,ES,ESP,1972,12647.6294952165
Spain,ES,ESP,1971,11824.3924635801
Spain,ES,ESP,1970,11436.0331188603
Spain,ES,ESP,1969,11088.1616945848
Spain,ES,ESP,1968,10282.1364767468
Spain,ES,ESP,1967,9772.76322009005
Spain,ES,ESP,1966,9482.21611422722
Spain,ES,ESP,1965,8932.55704709902
Spain,ES,ESP,1964,8498.64737489621
Spain,ES,ESP,1963,8150.83139574788
Spain,ES,ESP,1962,7502.64123248001
Spain,ES,ESP,1961,6886.53906136078
Spain,ES,ESP,1960,6215.03628303374
Estonia,EE,EST,2021,21707.2407508041
Estonia,EE,EST,2020,20118.1050729983
Estonia,EE,EST,2019,20269.575137379
Estonia,EE,EST,2018,19611.6109936281
Estonia,EE,EST,2017,18962.4103006448
Estonia,EE,EST,2016,17945.9449641749
Estonia,EE,EST,2015,17402.0376128079
Estonia,EE,EST,2014,17096.6445771582
Estonia,EE,EST,2013,16553.383261103
Estonia,EE,EST,2012,16257.4722043516
Estonia,EE,EST,2011,15692.788829336
Estonia,EE,EST,2010,14585.8386603429
Estonia,EE,EST,2009,14205.3948829766
Estonia,EE,EST,2008,16607.5680643985
Estonia,EE,EST,2007,17459.0983144278
Estonia,EE,EST,2006,16155.2074300393
Estonia,EE,EST,2005,14631.3873257137
Estonia,EE,EST,2004,13282.545519845
Estonia,EE,EST,2003,12362.2482843024
Estonia,EE,EST,2002,11417.1679687727
Estonia,EE,EST,2001,10625.5792686752
Estonia,EE,EST,2000,9960.13903877452
Estonia,EE,EST,1999,9091.33319428774
Estonia,EE,EST,1998,9157.06484706853
Estonia,EE,EST,1997,8692.29643761449
Estonia,EE,EST,1996,7601.66901867365
Estonia,EE,EST,1995,7137.53077576403
Estonia,EE,EST,1994,
Estonia,EE,EST,1993,
Estonia,EE,EST,1992,
Estonia,EE,EST,1991,
Estonia,EE,EST,1990,
Estonia,EE,EST,1989,
Estonia,EE,EST,1988,
Estonia,EE,EST,1987,
Estonia,EE,EST,1986,
Estonia,EE,EST,1985,
Estonia,EE,EST,1984,
Estonia,EE,EST,1983,
Estonia,EE,EST,1982,
Estonia,EE,EST,1981,
Estonia,EE,EST,1980,
Estonia,EE,EST,1979,
Estonia,EE,EST,1978,
Estonia,EE,EST,1977,
Estonia,EE,EST,1976,
Estonia,EE,EST,1975,
Estonia,EE,EST,1974,
Estonia,EE,EST,1973,
Estonia,EE,EST,1972,
Estonia,EE,EST,1971,
Estonia,EE,EST,1970,
Estonia,EE,EST,1969,
Estonia,EE,EST,1968,
Estonia,EE,EST,1967,
Estonia,EE,EST,1966,
Estonia,EE,EST,1965,
Estonia,EE,EST,1964,
Estonia,EE,EST,1963,
Estonia,EE,EST,1962,
Estonia,EE,EST,1961,
